Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
596,Spectrogram 1,1,6469.095152,1:47:49,14:07:58,6469.245425,92.593,574.074,Port Renfrew 3-20200907-135404-246-00004.wav,281.25,481.481,0.0833,20.3,0.1503,-33.4,bop,
564,Spectrogram 1,1,6945.643201,1:55:46,14:15:55,6945.760687,189.467,717.941,Port Renfrew 3-20200907-135404-246-00004.wav,421.875,528.474,0.0417,22.83,0.1175,-33.56,bop,yes
181,Spectrogram 1,1,7667.904975,2:07:48,14:27:57,7668.041587,111.111,448.77,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,337.659,0.1042,18.61,0.1366,-35.18,bop,yes
602,Spectrogram 1,1,6060.85316,1:41:01,14:01:10,6060.976111,83.333,805.556,Port Renfrew 3-20200907-135404-246-00004.wav,93.75,722.223,0.0625,20.29,0.123,-36.04,bop,
159,Spectrogram 1,1,6944.474713,1:55:44,14:15:53,6944.599485,186.335,755.694,Port Renfrew 3-20200907-135404-246-00004.wav,609.375,569.359,0.0625,19.91,0.1248,-36.4,bop,
164,Spectrogram 1,1,7005.265575,1:56:45,14:16:54,7005.361203,98.344,738.041,Port Renfrew 3-20200907-135404-246-00004.wav,117.188,639.697,0.0833,17.11,0.0956,-39.36,bop,yes
131,Spectrogram 1,1,6374.333529,1:46:14,14:06:23,6376.355387,87.992,331.263,Port Renfrew 3-20200907-135404-246-00004.wav,328.125,243.271,1.375,21.93,2.0219,-15.34,compound call,yes
147,Spectrogram 1,1,6465.847092,1:47:46,14:07:55,6468.401737,51.76,771.222,Port Renfrew 3-20200907-135404-246-00004.wav,234.375,719.462,2.0208,22.25,2.5546,-17.65,compound call,
129,Spectrogram 1,1,6369.734689,1:46:10,14:06:19,6370.007913,222.567,574.534,Port Renfrew 3-20200907-135404-246-00004.wav,281.25,351.967,0.0833,16.82,0.2732,-22.52,droplet,yes
91,Spectrogram 1,1,5993.520512,1:39:54,14:00:03,5993.72543,124.224,615.942,Port Renfrew 3-20200907-135404-246-00004.wav,304.688,491.718,0.1042,16.12,0.2049,-34.48,droplet,
92,Spectrogram 1,1,5995.064228,1:39:55,14:00:04,5995.296468,119.048,584.886,Port Renfrew 3-20200907-135404-246-00004.wav,281.25,465.838,0.125,18.03,0.2322,-36.13,droplet,
101,Spectrogram 1,1,6128.426019,1:42:08,14:02:17,6128.650087,103.52,481.562,Port Renfrew 3-20200907-135404-246-00004.wav,117.188,378.042,0.2083,15.66,0.2241,-36.23,droplet,yes
93,Spectrogram 1,1,5998.600154,1:39:59,14:00:08,5998.818734,119.048,569.358,Port Renfrew 3-20200907-135404-246-00004.wav,328.125,450.31,0.0833,20.7,0.2186,-36.41,droplet,
135,Spectrogram 1,1,6401.6285,1:46:42,14:06:51,6402.215932,83.333,346.791,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,263.458,0.3542,20.22,0.5874,-21.31,growl,yes
87,Spectrogram 1,1,5921.967474,1:38:42,13:58:51,5922.828129,93.168,269.151,Port Renfrew 3-20200907-135404-246-00004.wav,140.625,175.983,0.4792,15.68,0.8607,-36.42,growl,
117,Spectrogram 1,1,6325.954171,1:45:26,14:05:35,6326.104444,119.048,1276.596,Port Renfrew 3-20200907-135404-246-00004.wav,328.125,1157.548,0.0417,18.1,0.1503,-23.05,horse,
116,Spectrogram 1,1,6324.377668,1:45:24,14:05:33,6324.552531,119.048,1184.397,Port Renfrew 3-20200907-135404-246-00004.wav,304.688,1065.349,0.0833,20.84,0.1749,-24.86,horse,
144,Spectrogram 1,1,6462.157561,1:47:42,14:07:51,6462.330172,31.056,1255.319,Port Renfrew 3-20200907-135404-246-00004.wav,210.938,1224.263,0.1458,16.2,0.1726,-27.24,horse,yes
146,Spectrogram 1,1,6464.803591,1:47:45,14:07:54,6464.956596,77.64,2134.752,Port Renfrew 3-20200907-135404-246-00004.wav,562.5,2057.112,0.0833,19.86,0.153,-27.94,horse,
151,Spectrogram 1,1,6482.879295,1:48:03,14:08:12,6483.042339,144.928,1808.511,Port Renfrew 3-20200907-135404-246-00004.wav,1429.688,1663.583,0.0833,18.98,0.163,-29.75,horse,yes
143,Spectrogram 1,1,6460.427094,1:47:40,14:07:49,6460.645674,67.288,465.839,Port Renfrew 3-20200907-135404-246-00004.wav,257.812,398.551,0.1458,17.13,0.2186,-30.79,horse,yes
145,Spectrogram 1,1,6463.501536,1:47:44,14:07:53,6463.671154,56.936,1248.227,Port Renfrew 3-20200907-135404-246-00004.wav,562.5,1191.291,0.1042,17.64,0.1696,-35.89,horse,
157,Spectrogram 1,1,6941.814757,1:55:42,14:15:51,6941.955513,331.263,2382.979,Port Renfrew 3-20200907-135404-246-00004.wav,773.438,2051.716,0.1042,16.87,0.1408,-37.91,horse,yes
610,Spectrogram 1,1,6425.612494,1:47:06,14:07:15,6425.6808,115.741,2395.833,Port Renfrew 3-20200907-135404-246-00004.wav,351.562,2280.092,0.0208,21.07,0.0683,-22.08,knock,yes
124,Spectrogram 1,1,6335.675962,1:45:36,14:05:45,6336.645907,103.52,258.799,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,155.279,0.5,27.53,0.9699,-16.41,moan,
110,Spectrogram 1,1,6225.467424,1:43:45,14:03:54,6226.272453,126.949,414.254,Port Renfrew 3-20200907-135404-246-00004.wav,257.812,287.305,0.3542,21.47,0.805,-18.33,moan,yes
179,Spectrogram 1,1,7521.419117,2:05:21,14:25:30,7526.67868,110.656,479.508,Port Renfrew 3-20200907-135404-246-00004.wav,140.625,368.852,3.9583,18.96,5.2596,-22.36,moan,yes
149,Spectrogram 1,1,6470.667172,1:47:51,14:08:00,6471.978647,103.52,253.623,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,150.103,0.9792,25.92,1.3115,-22.4,moan,
152,Spectrogram 1,1,6487.270817,1:48:07,14:08:16,6489.265353,119.048,227.743,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,108.695,1.5625,15.93,1.9945,-24.48,moan,yes
102,Spectrogram 1,1,6129.54607,1:42:10,14:02:19,6131.950442,98.344,279.503,Port Renfrew 3-20200907-135404-246-00004.wav,187.5,181.159,1.8333,14.74,2.4044,-27.51,moan,yes
84,Spectrogram 1,1,5745.385623,1:35:45,13:55:54,5749.402017,72.464,253.623,Port Renfrew 3-20200907-135404-246-00004.wav,164.062,181.159,2.1667,23.38,4.0164,-28.59,moan,
126,Spectrogram 1,1,6342.275329,1:45:42,14:05:51,6343.217952,139.752,295.031,Port Renfrew 3-20200907-135404-246-00004.wav,257.812,155.279,0.7292,14.05,0.9426,-29.92,moan,yes
