Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
345,Spectrogram 1,1,13643.81376,3:47:24,16:07:33,13643.96403,72.016,645.39,Port Renfrew 3-20200907-152758-055-00006.wav,445.312,573.374,0.0625,27.69,0.1503,-29.65,bop,
304,Spectrogram 1,1,12742.84863,3:32:23,15:52:32,12742.9989,108.471,733.471,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,625,0.0417,26.41,0.1503,-30.06,bop,yes
629,Spectrogram 1,1,12508.76131,3:28:29,15:48:38,12508.87361,69.444,486.111,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,416.667,0.0417,23.95,0.1123,-30.54,bop,
541,Spectrogram 1,1,12618.99974,3:30:19,15:50:28,12619.13089,149.675,761.388,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,611.713,0.0417,26.18,0.1311,-30.78,bop,
290,Spectrogram 1,1,12616.01003,3:30:16,15:50:25,12616.14664,87.81,619.59,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,531.78,0.0833,18.91,0.1366,-31.87,bop,
282,Spectrogram 1,1,12550.59422,3:29:11,15:49:20,12550.73083,92.975,444.191,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,351.216,0.0833,17.63,0.1366,-33.72,bop,yes
248,Spectrogram 1,1,12097.37397,3:21:37,15:41:46,12097.51058,117.521,442.516,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,324.995,0.0625,15.32,0.1366,-34.27,bop,yes
627,Spectrogram 1,1,12502.91531,3:28:23,15:48:32,12503.01094,83.333,576.389,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,493.056,0.0625,21.02,0.0956,-34.51,bop,
313,Spectrogram 1,1,12947.33742,3:35:47,15:55:56,12947.43578,134.298,754.132,Port Renfrew 3-20200907-152758-055-00006.wav,257.812,619.834,0.0417,20.79,0.0984,-34.65,bop,
635,Spectrogram 1,1,12594.8753,3:29:55,15:50:04,12595.00645,90.278,486.111,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,395.833,0.0625,19.07,0.1311,-36.58,bop,
246,Spectrogram 1,1,12008.45039,3:20:08,15:40:17,12008.57334,102.564,631.944,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,529.38,0.0833,18.82,0.123,-37.6,bop,
570,Spectrogram 1,1,13451.53407,3:44:12,16:04:21,13451.63926,164.009,692.483,Port Renfrew 3-20200907-152758-055-00006.wav,421.875,528.474,0.0625,23.47,0.1052,-39.01,bop,
651,Spectrogram 1,1,12289.08095,3:24:49,15:44:58,12289.60008,90.09,1567.568,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,1477.478,0.3958,22.49,0.5191,-15.92,compound call,yes
654,Spectrogram 1,1,12313.10806,3:25:13,15:45:22,12313.62719,63.063,837.838,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,774.775,0.125,33.2,0.5191,-17.02,compound call,
655,Spectrogram 1,1,12313.90041,3:25:14,15:45:23,12314.47418,72.072,801.802,Port Renfrew 3-20200907-152758-055-00006.wav,281.25,729.73,0.3125,38.05,0.5738,-17.47,compound call,
656,Spectrogram 1,1,12315.64905,3:25:16,15:45:25,12316.18183,54.054,783.784,Port Renfrew 3-20200907-152758-055-00006.wav,281.25,729.73,0.2917,35.88,0.5328,-18.42,compound call,
621,Spectrogram 1,1,12314.74741,3:25:15,15:45:24,12315.30984,45.045,826.389,Port Renfrew 3-20200907-152758-055-00006.wav,281.25,781.344,0.3333,36.01,0.5624,-18.68,compound call,
652,Spectrogram 1,1,12289.94161,3:24:50,15:44:59,12290.59735,90.09,1693.694,Port Renfrew 3-20200907-152758-055-00006.wav,1101.562,1603.604,0.4375,23.66,0.6557,-20.12,compound call,yes
650,Spectrogram 1,1,12288.12467,3:24:48,15:44:57,12288.60281,90.09,1396.396,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,1306.306,0.3333,20.62,0.4781,-20.69,compound call,yes
240,Spectrogram 1,1,11922.29215,3:18:42,15:38:51,11923.50999,60.134,360.802,Port Renfrew 3-20200907-152758-055-00006.wav,70.312,300.668,0.6875,25.85,1.2178,-22.12,growl,
319,Spectrogram 1,1,12979.3444,3:36:19,15:56:28,12980.90178,46.488,258.264,Port Renfrew 3-20200907-152758-055-00006.wav,70.312,211.776,1.1042,21.04,1.5574,-25.87,growl,yes
317,Spectrogram 1,1,12973.29246,3:36:13,15:56:22,12974.00284,67.149,494.432,Port Renfrew 3-20200907-152758-055-00006.wav,70.312,427.283,0.5417,21.95,0.7104,-30.32,growl,
320,Spectrogram 1,1,12985.40099,3:36:25,15:56:34,12986.72612,51.653,253.099,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,201.446,1.1042,14.55,1.3251,-33.85,growl,
276,Spectrogram 1,1,12509.13684,3:28:29,15:48:38,12509.91553,51.653,206.612,Port Renfrew 3-20200907-152758-055-00006.wav,70.312,154.959,0.5833,16.42,0.7787,-34.39,growl,
239,Spectrogram 1,1,11777.82352,3:16:18,15:36:27,11778.77297,70.513,290.78,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,220.267,0.6042,22.43,0.9495,-35.12,growl,
633,Spectrogram 1,1,12594.09115,3:29:54,15:50:03,12594.40535,62.5,312.5,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,250,0.2083,20.97,0.3142,-35.36,growl,
632,Spectrogram 1,1,12592.6294,3:29:53,15:50:02,12593.01191,76.389,375,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,298.611,0.25,23.22,0.3825,-36.68,growl,
342,Spectrogram 1,1,13628.73635,3:47:09,16:07:18,13629.13253,76.389,659.722,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,583.333,0.1875,25.11,0.3962,-16.83,grunt,
343,Spectrogram 1,1,13637.82041,3:47:18,16:07:27,13638.20292,61.728,694.444,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,632.716,0.1458,24.94,0.3825,-20.57,grunt,
638,Spectrogram 1,1,13638.98434,3:47:19,16:07:28,13639.3368,55.556,666.667,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,611.111,0.1667,28.26,0.3525,-21.65,grunt,
624,Spectrogram 1,1,12327.0092,3:25:27,15:45:36,12327.39171,97.222,402.778,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,305.556,0.1875,24.75,0.3825,-22.13,grunt,
309,Spectrogram 1,1,12799.96204,3:33:20,15:53:29,12800.33089,48.611,215.278,Port Renfrew 3-20200907-152758-055-00006.wav,70.312,166.667,0.125,27.88,0.3689,-23.89,grunt,
569,Spectrogram 1,1,13450.8756,3:44:11,16:04:20,13450.9521,123.007,715.262,Port Renfrew 3-20200907-152758-055-00006.wav,257.812,592.255,0.0208,18.31,0.0765,-30.08,knock,
336,Spectrogram 1,1,13450.11057,3:44:10,16:04:19,13450.18708,185.185,701.595,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,516.41,0.0208,26.08,0.0765,-32.05,knock,
666,Spectrogram 1,1,12948.0478,3:35:48,15:55:57,12948.10245,156.028,737.589,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,581.561,0,37.22,0.0546,-32.28,knock,
631,Spectrogram 1,1,12523.6524,3:28:44,15:48:53,12523.7207,118.056,715.278,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,597.222,0,20.75,0.0683,-33.13,knock,
630,Spectrogram 1,1,12522.96934,3:28:43,15:48:52,12523.02945,125,736.111,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,611.111,0.0208,18.35,0.0601,-33.74,knock,
667,Spectrogram 1,1,12948.71447,3:35:49,15:55:58,12948.78004,163.121,723.404,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,560.283,0.0208,28.89,0.0656,-34.28,knock,
626,Spectrogram 1,1,12502.041,3:28:22,15:48:31,12502.11409,104.167,583.333,Port Renfrew 3-20200907-152758-055-00006.wav,421.875,479.166,0,26.88,0.0731,-34.6,knock,
281,Spectrogram 1,1,12522.36278,3:28:42,15:48:51,12522.43655,87.81,728.306,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,640.496,0.0417,16.74,0.0738,-35.56,knock,
588,Spectrogram 1,1,13457.12304,3:44:17,16:04:26,13457.19954,225.513,656.036,Port Renfrew 3-20200907-152758-055-00006.wav,421.875,430.523,0.0208,24.15,0.0765,-35.83,knock,
255,Spectrogram 1,1,12190.60666,3:23:11,15:43:20,12193.10666,85.47,384.615,Port Renfrew 3-20200907-152758-055-00006.wav,375,299.145,1.5,26.06,2.5,-10.93,moan,
297,Spectrogram 1,1,12711.63876,3:31:52,15:52:01,12713.57865,113.636,299.587,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,185.951,1.5625,14.17,1.9399,-29.53,moan,yes
277,Spectrogram 1,1,12510.05215,3:28:30,15:48:39,12511.43193,61.983,237.603,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,175.62,1.0625,17.88,1.3798,-29.61,moan,
323,Spectrogram 1,1,13002.67323,3:36:43,15:56:52,13003.61312,77.519,371.901,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,294.382,0.7292,16.58,0.9399,-34.74,moan,
274,Spectrogram 1,1,12505.82499,3:28:26,15:48:35,12506.91788,154.915,299.145,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,144.23,0.7083,21.02,1.0929,-37.1,moan,
325,Spectrogram 1,1,13013.4372,3:36:53,15:57:02,13014.89894,149.793,841.942,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,692.149,1.0625,20.15,1.4617,-37.8,moan,
322,Spectrogram 1,1,13001.35985,3:36:41,15:56:50,13002.02925,144.628,242.769,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,98.141,0.4792,18.66,0.6694,-39.46,moan,
286,Spectrogram 1,1,12601.90092,3:30:02,15:50:11,12602.87087,273.76,1536.748,Port Renfrew 3-20200907-152758-055-00006.wav,1101.562,1262.988,0.4167,18.08,0.97,-25.7,modulated cry,
340,Spectrogram 1,1,13532.86959,3:45:33,16:05:42,13533.52532,498.971,1239.712,Port Renfrew 3-20200907-152758-055-00006.wav,960.938,740.741,0.5,24.97,0.6557,-29.86,modulated cry,
289,Spectrogram 1,1,12613.94984,3:30:14,15:50:23,12615.04657,206.612,1185.882,Port Renfrew 3-20200907-152758-055-00006.wav,585.938,979.27,0.7292,19.6,1.0967,-31.64,modulated cry,
305,Spectrogram 1,1,12745.3015,3:32:25,15:52:34,12745.70945,436.467,1412.707,Port Renfrew 3-20200907-152758-055-00006.wav,867.188,976.24,0.3333,20.25,0.4079,-31.97,modulated cry,yes
312,Spectrogram 1,1,12945.2659,3:35:45,15:55:54,12946.31781,356.405,1585.744,Port Renfrew 3-20200907-152758-055-00006.wav,1171.875,1229.339,0.9167,22.55,1.0519,-32.82,modulated cry,
293,Spectrogram 1,1,12619.84616,3:30:20,15:50:29,12621.04835,258.264,1043.388,Port Renfrew 3-20200907-152758-055-00006.wav,304.688,785.124,0.6042,18.35,1.2022,-32.87,modulated cry,
338,Spectrogram 1,1,13454.41507,3:44:14,16:04:23,13455.41234,231.481,2287.059,Port Renfrew 3-20200907-152758-055-00006.wav,820.312,2055.578,0.875,18.49,0.9973,-33.38,modulated cry,
302,Spectrogram 1,1,12739.09929,3:32:19,15:52:28,12740.05558,247.934,836.777,Port Renfrew 3-20200907-152758-055-00006.wav,820.312,588.843,0.875,16.8,0.9563,-35.56,modulated cry,yes
294,Spectrogram 1,1,12622.08727,3:30:22,15:50:31,12623.35776,165.289,734.967,Port Renfrew 3-20200907-152758-055-00006.wav,421.875,569.678,1,17.73,1.2705,-37.71,modulated cry,
280,Spectrogram 1,1,12521.31836,3:28:41,15:48:50,12521.89214,377.066,754.881,Port Renfrew 3-20200907-152758-055-00006.wav,679.688,377.815,0.4375,14.17,0.5738,-37.87,modulated cry,yes
291,Spectrogram 1,1,12617.28385,3:30:17,15:50:26,12618.02155,366.736,960,Port Renfrew 3-20200907-152758-055-00006.wav,632.812,593.264,0.5833,21.58,0.7377,-38.42,modulated cry,
321,Spectrogram 1,1,12991.62373,3:36:32,15:56:41,12992.82591,237.603,912.941,Port Renfrew 3-20200907-152758-055-00006.wav,328.125,675.338,0.7292,15.5,1.2022,-39.28,modulated cry,
311,Spectrogram 1,1,12943.66387,3:35:44,15:55:53,12944.57918,232.438,1807.851,Port Renfrew 3-20200907-152758-055-00006.wav,796.875,1575.413,0.75,20.25,0.9153,-39.31,modulated cry,
244,Spectrogram 1,1,11994.6513,3:19:55,15:40:04,11995.78518,121.795,368.794,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,246.999,0.6667,26.42,1.1339,-25.32,purr,yes
300,Spectrogram 1,1,12731.87283,3:32:12,15:52:21,12734.85098,61.983,356.405,Port Renfrew 3-20200907-152758-055-00006.wav,257.812,294.422,2.4792,19.83,2.9781,-30.6,purr,yes
271,Spectrogram 1,1,12489.89671,3:28:10,15:48:19,12491.95955,90.812,395.299,Port Renfrew 3-20200907-152758-055-00006.wav,187.5,304.487,1.7917,14.47,2.0628,-39.57,purr,yes
295,Spectrogram 1,1,12627.19125,3:30:27,15:50:36,12628.51638,144.628,506.198,Port Renfrew 3-20200907-152758-055-00006.wav,257.812,361.57,0.9375,17.59,1.3251,-39.86,purr,
301,Spectrogram 1,1,12737.26268,3:32:17,15:52:26,12737.7135,222.107,459.711,Port Renfrew 3-20200907-152758-055-00006.wav,257.812,237.604,0.2708,20.98,0.4508,-26.16,short moan,yes
298,Spectrogram 1,1,12715.71932,3:31:56,15:52:05,12716.38872,878.099,1565.083,Port Renfrew 3-20200907-152758-055-00006.wav,890.625,686.984,0.5417,16.83,0.6694,-34.66,shriek,
549,Spectrogram 1,1,13451.19271,3:44:11,16:04:20,13451.28834,1414.254,4443.207,Port Renfrew 3-20200907-152758-055-00006.wav,3468.75,3028.953,0,23.95,0.0956,-34.53,squeak,
263,Spectrogram 1,1,12323.05052,3:25:23,15:45:32,12323.88385,53.419,702.128,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,648.709,0.25,39.38,0.8333,-6.02,thwop,
583,Spectrogram 1,1,12127.03582,3:22:07,15:42:16,12127.24074,63.781,537.585,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,473.804,0.1042,23.4,0.2049,-27.2,upsweep,
251,Spectrogram 1,1,12126.38008,3:22:06,15:42:15,12126.66697,90.812,507.479,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,416.667,0.1875,22.61,0.2869,-28.02,upsweep,
584,Spectrogram 1,1,12127.71888,3:22:08,15:42:17,12127.95112,72.893,546.697,Port Renfrew 3-20200907-152758-055-00006.wav,164.062,473.804,0.125,24.49,0.2322,-30.59,upsweep,
594,Spectrogram 1,1,12099.58694,3:21:40,15:41:49,12099.80552,109.339,728.929,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,619.59,0.1458,21.62,0.2186,-30.96,upsweep,yes
324,Spectrogram 1,1,13006.96236,3:36:47,15:56:56,13007.39951,51.653,418.388,Port Renfrew 3-20200907-152758-055-00006.wav,234.375,366.735,0.1875,27.44,0.4371,-32.46,upsweep,
333,Spectrogram 1,1,13343.08675,3:42:23,16:02:32,13343.27801,98.14,609.504,Port Renfrew 3-20200907-152758-055-00006.wav,140.625,511.364,0.0833,17.79,0.1913,-35.06,upsweep,yes
303,Spectrogram 1,1,12741.2627,3:32:21,15:52:30,12741.69986,382.231,724.706,Port Renfrew 3-20200907-152758-055-00006.wav,632.812,342.475,0.2917,16.23,0.4372,-35.74,whoop,
265,Spectrogram 1,1,12385.83331,3:26:26,15:46:35,12386.55735,42.735,657.051,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,614.316,0.3333,42.14,0.724,-6.5,whup,
346,Spectrogram 1,1,13714.50974,3:48:35,16:08:44,13715.12449,82.305,673.868,Port Renfrew 3-20200907-152758-055-00006.wav,117.188,591.563,0.2917,34.36,0.6148,-10.26,whup,yes
347,Spectrogram 1,1,13747.6342,3:49:08,16:09:17,13748.33092,82.305,576.132,Port Renfrew 3-20200907-152758-055-00006.wav,93.75,493.827,0.3125,35.85,0.6967,-13,whup,
259,Spectrogram 1,1,12310.94475,3:25:11,15:45:20,12311.83489,42.735,603.632,Port Renfrew 3-20200907-152758-055-00006.wav,375,560.897,0.5833,29,0.8901,-21.68,whup,
242,Spectrogram 1,1,11966.1576,3:19:26,15:39:35,11967.46907,96.154,788.462,Port Renfrew 3-20200907-152758-055-00006.wav,210.938,692.308,0.7917,32.35,1.3115,-21.85,whup,
401,Spectrogram 1,1,14336.42312,3:58:56,16:19:05,14336.8876,54.585,1503.417,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,1448.832,0.1042,31.99,0.4645,-5.92,bark,
403,Spectrogram 1,1,14337.79991,3:58:58,16:19:07,14338.30537,60.044,1485.194,Port Renfrew 3-20200907-161453-284-00007.wav,257.812,1425.15,0.0833,32.69,0.5055,-8.41,bark,
428,Spectrogram 1,1,14508.46029,4:01:48,16:21:57,14509.30729,69.869,3074.236,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,3004.367,0.3958,25.46,0.847,-11.95,bark,yes
399,Spectrogram 1,1,14333.49068,3:58:53,16:19:02,14333.98249,65.502,1388.889,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,1323.387,0.2083,26.14,0.4918,-13.23,bark,
414,Spectrogram 1,1,14378.89369,3:59:39,16:19:48,14379.2762,87.336,1312.057,Port Renfrew 3-20200907-161453-284-00007.wav,257.812,1224.721,0.1667,31.47,0.3825,-15.99,bark,
383,Spectrogram 1,1,14254.89947,3:57:35,16:17:44,14255.10439,154.321,1023.663,Port Renfrew 3-20200907-161453-284-00007.wav,351.562,869.342,0.0625,35.68,0.2049,-16.39,bark,
370,Spectrogram 1,1,14186.14068,3:56:26,16:16:35,14186.45489,92.593,1104.167,Port Renfrew 3-20200907-161453-284-00007.wav,304.688,1011.574,0.1875,25.83,0.3142,-18.15,bark,
405,Spectrogram 1,1,14347.51422,3:59:08,16:19:17,14347.80111,92.795,895.197,Port Renfrew 3-20200907-161453-284-00007.wav,257.812,802.402,0.0833,31.23,0.2869,-18.93,bark,
417,Spectrogram 1,1,14383.26689,3:59:43,16:19:52,14383.60842,69.869,1205.674,Port Renfrew 3-20200907-161453-284-00007.wav,351.562,1135.805,0.1667,34.45,0.3415,-18.97,bark,
412,Spectrogram 1,1,14377.8551,3:59:38,16:19:47,14378.23795,69.869,1269.504,Port Renfrew 3-20200907-161453-284-00007.wav,281.25,1199.635,0.125,25.44,0.3828,-21.92,bark,
444,Spectrogram 1,1,14607.77909,4:03:28,16:23:37,14607.87472,76.923,717.949,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,641.026,0.0208,29.38,0.0956,-14.05,bop,
441,Spectrogram 1,1,14604.97854,4:03:25,16:23:34,14605.12881,68.376,811.966,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,743.59,0.0417,32.39,0.1503,-14.73,bop,
442,Spectrogram 1,1,14605.82554,4:03:26,16:23:35,14605.9108,68.376,811.966,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,743.59,0.0208,24.77,0.0853,-14.79,bop,
459,Spectrogram 1,1,14621.94096,4:03:42,16:23:51,14622.03659,69.444,592.949,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,523.505,0.0208,23.27,0.0956,-15.85,bop,
446,Spectrogram 1,1,14609.59603,4:03:30,16:23:39,14609.70532,51.282,692.308,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,641.026,0.0417,25.53,0.1093,-16.99,bop,
496,Spectrogram 1,1,14736.29012,4:05:36,16:25:45,14736.44313,91.116,501.139,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,410.023,0.0625,25.61,0.153,-17.7,bop,
443,Spectrogram 1,1,14606.97308,4:03:27,16:23:36,14607.09603,68.376,846.154,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,777.778,0.0625,27.61,0.123,-18.39,bop,
362,Spectrogram 1,1,14169.38897,3:56:09,16:16:18,14169.56656,66.872,533.03,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,466.158,0.0625,31.06,0.1776,-20.05,bop,
457,Spectrogram 1,1,14620.17867,4:03:40,16:23:49,14620.28796,85.47,592.949,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,507.479,0.0208,30.33,0.1093,-21.62,bop,
445,Spectrogram 1,1,14608.66707,4:03:29,16:23:38,14608.76269,59.829,726.496,Port Renfrew 3-20200907-161453-284-00007.wav,468.75,666.667,0.0208,29.04,0.0956,-24.96,bop,
458,Spectrogram 1,1,14621.05299,4:03:41,16:23:50,14621.16228,69.444,555.556,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,486.112,0.0208,26.64,0.1093,-25.84,bop,
582,Spectrogram 1,1,14310.87875,3:58:31,16:18:40,14311.03127,72.893,546.697,Port Renfrew 3-20200907-161453-284-00007.wav,164.062,473.804,0.0833,27.56,0.1525,-26.42,bop,
447,Spectrogram 1,1,14610.52544,4:03:31,16:23:40,14610.63101,52.373,770.322,Port Renfrew 3-20200907-161453-284-00007.wav,328.125,717.949,0.0833,22.38,0.1056,-27.35,bop,
437,Spectrogram 1,1,14585.53461,4:03:06,16:23:15,14585.6439,224.359,742.521,Port Renfrew 3-20200907-161453-284-00007.wav,539.062,518.162,0.0417,24.88,0.1093,-29.28,bop,yes
465,Spectrogram 1,1,14667.89377,4:04:28,16:24:37,14667.9894,92.917,1120.567,Port Renfrew 3-20200907-161453-284-00007.wav,164.062,1027.65,0.0833,17.52,0.0956,-33.58,bop,
456,Spectrogram 1,1,14619.31801,4:03:39,16:23:48,14619.44096,85.275,598.096,Port Renfrew 3-20200907-161453-284-00007.wav,187.5,512.821,0.0625,23.69,0.123,-35.45,bop,
517,Spectrogram 1,1,15553.95251,4:19:14,16:39:23,15554.07272,82.979,1053.191,Port Renfrew 3-20200907-161453-284-00007.wav,492.188,970.212,0.0625,22.39,0.1202,-37.4,bop,
424,Spectrogram 1,1,14437.81506,4:00:38,16:20:47,14439.39976,61.135,917.031,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,855.896,0.625,29.97,1.5847,-8.49,compound call,
389,Spectrogram 1,1,14317.33233,3:58:37,16:18:46,14318.22031,76.419,878.821,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,802.402,0.1042,29.34,0.888,-10.58,compound call,
391,Spectrogram 1,1,14319.66274,3:58:40,16:18:49,14320.01191,98.253,1822.695,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,1724.442,0.1042,28.12,0.3492,-11.61,compound call,
479,Spectrogram 1,1,14701.97773,4:05:02,16:25:11,14702.61981,86.721,1539.295,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,1452.574,0.3542,21.44,0.6421,-18.97,compound call,
352,Spectrogram 1,1,14156.30347,3:55:56,16:16:05,14157.20511,92.593,534.979,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,442.386,0.4167,26.4,0.9016,-19.39,compound call,
371,Spectrogram 1,1,14187.39236,3:56:27,16:16:36,14187.93881,102.881,1111.111,Port Renfrew 3-20200907-161453-284-00007.wav,164.062,1008.23,0.3333,22.66,0.5464,-19.83,compound call,
477,Spectrogram 1,1,14699.29462,4:04:59,16:25:08,14699.97768,111.111,700.855,Port Renfrew 3-20200907-161453-284-00007.wav,210.938,589.744,0.1875,19.94,0.6831,-19.85,compound call,
476,Spectrogram 1,1,14697.56598,4:04:58,16:25:07,14698.32269,111.111,1069.444,Port Renfrew 3-20200907-161453-284-00007.wav,914.062,958.333,0.4792,19.49,0.7567,-20.23,compound call,yes
385,Spectrogram 1,1,14256.11532,3:57:36,16:17:45,14256.86668,77.16,524.691,Port Renfrew 3-20200907-161453-284-00007.wav,234.375,447.531,0.5417,26.1,0.7514,-20.54,compound call,
491,Spectrogram 1,1,14718.17595,4:05:18,16:25:27,14720.08852,53.191,728.723,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,675.532,1.3125,28.9,1.9126,-21.06,compound call,
478,Spectrogram 1,1,14700.52813,4:05:01,16:25:10,14701.30682,85.47,726.496,Port Renfrew 3-20200907-161453-284-00007.wav,187.5,641.026,0.5208,24.75,0.7787,-21.9,compound call,
498,Spectrogram 1,1,14737.52351,4:05:38,16:25:47,14739.27214,63.83,369.369,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,305.539,1.3542,29.01,1.7486,-21.6,growl,
382,Spectrogram 1,1,14252.63737,3:57:33,16:17:42,14253.73026,77.16,375.514,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,298.354,0.6458,25.67,1.0929,-27.5,growl,
377,Spectrogram 1,1,14195.69322,3:56:36,16:16:45,14197.53748,72.016,318.93,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,246.914,1.4583,19.42,1.8443,-28.4,growl,
526,Spectrogram 1,1,15788.86667,4:23:09,16:43:18,15789.98689,57.447,165.957,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,108.51,0.8125,21.91,1.1202,-29.17,growl,
527,Spectrogram 1,1,15811.31644,4:23:31,16:43:40,15812.32737,70.213,178.723,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,108.51,0.7708,13.77,1.0109,-30.55,growl,yes
521,Spectrogram 1,1,15555.20896,4:19:15,16:39:24,15556.44913,57.447,204.255,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,146.808,0.6667,24.51,1.2402,-32.93,growl,
400,Spectrogram 1,1,14334.15102,3:58:54,16:19:03,14334.53761,60.044,436.681,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,376.637,0.125,36.01,0.3866,-9.51,grunt,
502,Spectrogram 1,1,14769.07982,4:06:09,16:26:18,14769.46234,63.83,388.298,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,324.468,0.1667,35.93,0.3825,-11.49,grunt,
647,Spectrogram 1,1,14770.08277,4:06:10,16:26:19,14770.50627,69.444,472.222,Port Renfrew 3-20200907-161453-284-00007.wav,140.625,402.778,0.1875,24.06,0.4235,-12.69,grunt,
574,Spectrogram 1,1,14316.42473,3:58:36,16:18:45,14316.70858,45.558,564.92,Port Renfrew 3-20200907-161453-284-00007.wav,93.75,519.362,0.1458,34.39,0.2839,-12.92,grunt,
589,Spectrogram 1,1,14165.26592,3:56:05,16:16:14,14165.58012,68.337,498.861,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,430.524,0.125,29.44,0.3142,-13.41,grunt,
495,Spectrogram 1,1,14734.56636,4:05:35,16:25:44,14734.89423,69.149,637.813,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,568.664,0.1875,29.75,0.3279,-13.48,grunt,
482,Spectrogram 1,1,14705.96982,4:05:06,16:25:15,14706.33568,68.085,610.478,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,542.393,0.1667,29.51,0.3659,-13.89,grunt,
646,Spectrogram 1,1,14335.63514,3:58:56,16:19:05,14335.94471,48.611,534.722,Port Renfrew 3-20200907-161453-284-00007.wav,117.188,486.111,0.1667,38.52,0.3096,-15.41,grunt,
497,Spectrogram 1,1,14736.78153,4:05:37,16:25:46,14737.0317,69.149,464.692,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,395.543,0.1042,30.56,0.2502,-15.89,grunt,
364,Spectrogram 1,1,14171.48451,3:56:11,16:16:20,14171.7714,68.337,478.36,Port Renfrew 3-20200907-161453-284-00007.wav,70.312,410.023,0.125,27.89,0.2869,-16.09,grunt,
