Row,DateTime,Pressure,Depth0,Depth,Cry,Changedepth,Average5,Average10,Average20,Average30,ChangeAv5,ChangeAv10,ChangeAv20,ChangeAv30
56,2020-09-08 10:16:11,-0.833996414,0.833996414,1.667992828,,-0.015559635,,,,,,,,
57,2020-09-08 10:16:12,-0.835552378,0.835552378,1.671104756,,0.001555964,,,,,,,,
58,2020-09-08 10:16:13,-0.832440451,0.832440451,1.664880902,,-0.003111927,,,,,,,,
59,2020-09-08 10:16:14,-0.838582412,0.838582412,1.677164824,,0.006141961,,,,,,,,
60,2020-09-08 10:16:15,-0.862448317,0.862448317,1.724896634,,0.023865905,,,,,,,,
61,2020-09-08 10:16:16,-0.848409549,0.848409549,1.696819098,,-0.014038768,,,,,,,,
62,2020-09-08 10:16:17,-0.847629618,0.847629618,1.695259236,,-0.000779931,,,,,,,,
63,2020-09-08 10:16:18,-0.838582412,0.838582412,1.677164824,,-0.009047206,,,,,,,,
64,2020-09-08 10:16:19,-0.838738398,0.838738398,1.677476796,,0.000155986,,,,,,,,
65,2020-09-08 10:16:20,-0.844888159,0.844888159,1.689776318,,0.006149761,,,,,,,,
66,2020-09-08 10:16:21,-0.846444122,0.846444122,1.692888244,,0.001555963,,,,,,,,
67,2020-09-08 10:16:22,-0.844888159,0.844888159,1.689776318,,-0.001555963,,,,,,,,
68,2020-09-08 10:16:23,-0.829328524,0.829328524,1.658657048,,-0.015559635,,,,,,,,
69,2020-09-08 10:16:24,-0.843332195,0.843332195,1.68666439,,0.014003671,,,,,,,,
70,2020-09-08 10:16:25,-0.843495981,0.843495981,1.686991962,,0.000163786,,,,,,,,
71,2020-09-08 10:16:26,-0.831329048,0.831329048,1.662658096,,-0.012166933,,,,,,,,
72,2020-09-08 10:16:27,-0.814014568,0.814014568,1.628029136,,-0.01731448,,,,,,,,
73,2020-09-08 10:16:28,-0.855038968,0.855038968,1.710077936,,0.0410244,,,,,,,,
74,2020-09-08 10:16:29,-0.843495981,0.843495981,1.686991962,,-0.011542987,,,,,,,,
75,2020-09-08 10:16:30,-0.832810918,0.832810918,1.665621836,,-0.010685063,,,,,,,,
76,2020-09-08 10:16:31,-0.833996414,0.833996414,1.667992828,,0.001185496,,,,,,,,
77,2020-09-08 10:16:32,-0.841776232,0.841776232,1.683552464,,0.007779818,,,,,,,,
78,2020-09-08 10:16:33,-0.829328524,0.829328524,1.658657048,,-0.012447708,,,,,,,,
79,2020-09-08 10:16:34,-0.82777256,0.82777256,1.65554512,,-0.001555964,,,,,,,,
80,2020-09-08 10:16:35,-0.838664305,0.838664305,1.67732861,,0.010891745,,,,,,,,
81,2020-09-08 10:16:36,-0.844888159,0.844888159,1.689776318,,0.006223854,,,,,,,,
82,2020-09-08 10:16:37,-0.843332195,0.843332195,1.68666439,,-0.001555964,,,,,,,,
83,2020-09-08 10:16:38,-0.832030987,0.832030987,1.664061974,,-0.011301208,,,,,,,,
84,2020-09-08 10:16:39,-0.862448317,0.862448317,1.724896634,,0.03041733,,,,,,,,
85,2020-09-08 10:16:40,-0.838582412,0.838582412,1.677164824,,-0.023865905,,,,,,,,
86,2020-09-08 10:16:41,-0.858002708,0.858002708,1.716005416,,0.019420296,,,,,,,,
87,2020-09-08 10:16:42,-0.833668843,0.833668843,1.667337686,,-0.024333865,,,,,,,,
88,2020-09-08 10:16:43,-0.841702138,0.841702138,1.683404276,,0.008033295,,,,,,,,
89,2020-09-08 10:16:44,-0.838664305,0.838664305,1.67732861,,-0.003037833,,,,,,,,
90,2020-09-08 10:16:45,-0.829328524,0.829328524,1.658657048,,-0.009335781,,,,,,,,
91,2020-09-08 10:16:46,-0.830884487,0.830884487,1.661768974,,0.001555963,,,,,,,,
92,2020-09-08 10:16:47,-0.849556049,0.849556049,1.699112098,,0.018671562,,,,,,,,
93,2020-09-08 10:16:48,-0.838664305,0.838664305,1.67732861,,-0.010891744,,,,,,,,
94,2020-09-08 10:16:49,-0.824660634,0.824660634,1.649321268,,-0.014003671,,,,,,,,
95,2020-09-08 10:16:50,-0.82310467,0.82310467,1.64620934,,-0.001555964,,,,,,,,
96,2020-09-08 10:16:51,-0.828755274,0.828755274,1.657510548,,0.005650604,,,,,,,,
97,2020-09-08 10:16:52,-0.826883438,0.826883438,1.653766876,,-0.001871836,,,,,,,,
98,2020-09-08 10:16:53,-0.828755274,0.828755274,1.657510548,,0.001871836,,,,,,,,
99,2020-09-08 10:16:54,-0.832810918,0.832810918,1.665621836,,0.004055644,,,,,,,,
100,2020-09-08 10:16:55,-0.841858124,0.841858124,1.683716248,,0.009047206,,,,,,,,
101,2020-09-08 10:16:56,-0.819474089,0.819474089,1.638948178,,-0.022384035,,,,,,,,
102,2020-09-08 10:16:57,-0.826216597,0.826216597,1.652433194,,0.006742508,,,,,,,,
103,2020-09-08 10:16:58,-0.838664305,0.838664305,1.67732861,,0.012447708,,,,,,,,
104,2020-09-08 10:16:59,-0.829328524,0.829328524,1.658657048,,-0.009335781,,,,,,,,
105,2020-09-08 10:17:00,-0.824660634,0.824660634,1.649321268,,-0.00466789,,,,,,,,
106,2020-09-08 10:17:01,-0.81843678,0.81843678,1.63687356,,-0.006223854,,,,,,,,
107,2020-09-08 10:17:02,-0.804433109,0.804433109,1.608866218,,-0.014003671,,,,,,,,
108,2020-09-08 10:17:03,-0.819992743,0.819992743,1.639985486,,0.015559634,,,,,,,,
109,2020-09-08 10:17:04,-0.832030987,0.832030987,1.664061974,,0.012038244,,,,,,,,
110,2020-09-08 10:17:05,-0.825401568,0.825401568,1.650803136,,-0.006629419,,,,,,,,
111,2020-09-08 10:17:06,-0.81729028,0.81729028,1.63458056,,-0.008111288,,,,,,,,
112,2020-09-08 10:17:07,-0.826883438,0.826883438,1.653766876,,0.009593158,,,,,,,,
113,2020-09-08 10:17:08,-0.825479562,0.825479562,1.650959124,,-0.001403876,,,,,,,,
114,2020-09-08 10:17:09,-0.817992219,0.817992219,1.635984438,,-0.007487343,,,,,,,,
115,2020-09-08 10:17:10,-0.812212926,0.812212926,1.624425852,,-0.005779293,,,,,,,,
116,2020-09-08 10:17:11,-0.815324853,0.815324853,1.630649706,,0.003111927,,,,,,,,
117,2020-09-08 10:17:12,-0.837108341,0.837108341,1.674216682,,0.021783488,,,,,,,,
118,2020-09-08 10:17:13,-0.830884487,0.830884487,1.661768974,,-0.006223854,,,,,,,,
119,2020-09-08 10:17:14,-0.830884487,0.830884487,1.661768974,,0,,,,,,,,
120,2020-09-08 10:17:15,-0.826216597,0.826216597,1.652433194,,-0.00466789,,,,,,,,
121,2020-09-08 10:17:16,-0.832440451,0.832440451,1.664880902,,0.006223854,,,,,,,,
122,2020-09-08 10:17:17,-0.828755274,0.828755274,1.657510548,,-0.003685177,,,,,,,,
123,2020-09-08 10:17:18,-0.841702138,0.841702138,1.683404276,,0.012946864,,,,,,,,
124,2020-09-08 10:17:19,-0.835306699,0.835306699,1.670613398,,-0.006395439,,,,,,,,
125,2020-09-08 10:17:20,-0.831329048,0.831329048,1.662658096,,-0.003977651,,,,,,,,
126,2020-09-08 10:17:21,-0.836944555,0.836944555,1.67388911,,0.005615507,,,,,,,,
127,2020-09-08 10:17:22,-0.844665878,0.844665878,1.689331756,,0.007721323,,,,,,,,
128,2020-09-08 10:17:23,-0.840220268,0.840220268,1.680440536,,-0.00444561,,,,,,,,
129,2020-09-08 10:17:24,-0.835552378,0.835552378,1.671104756,,-0.00466789,,,,,,,,
130,2020-09-08 10:17:25,-0.849556049,0.849556049,1.699112098,,0.014003671,,,,,,,,
131,2020-09-08 10:17:26,-0.832440451,0.832440451,1.664880902,,-0.017115598,,,,,,,,
132,2020-09-08 10:17:27,-0.824660634,0.824660634,1.649321268,,-0.007779817,,,,,,,,
133,2020-09-08 10:17:28,-0.837108341,0.837108341,1.674216682,,0.012447707,,,,,,,,
134,2020-09-08 10:17:29,-0.860447793,0.860447793,1.720895586,,0.023339452,,,,,,,,
135,2020-09-08 10:17:30,-0.830393131,0.830393131,1.660786262,,-0.030054662,,,,,,,,
136,2020-09-08 10:17:31,-0.847629618,0.847629618,1.695259236,,0.017236487,,,,,,,,
137,2020-09-08 10:17:32,-0.854960975,0.854960975,1.70992195,,0.007331357,,,,,,,,
138,2020-09-08 10:17:33,-0.858002708,0.858002708,1.716005416,,0.003041733,,,,,,,,
139,2020-09-08 10:17:34,-0.833668843,0.833668843,1.667337686,,-0.024333865,,,,,,,,
140,2020-09-08 10:17:35,-0.844665878,0.844665878,1.689331756,,0.010997035,,,,,,,,
141,2020-09-08 10:17:36,-0.821548707,0.821548707,1.643097414,,-0.023117171,,,,,,,,
142,2020-09-08 10:17:37,-0.841776231,0.841776231,1.683552462,,0.020227524,,,,,,,,
143,2020-09-08 10:17:38,-0.816880816,0.816880816,1.633761632,,-0.024895415,,,,,,,,
144,2020-09-08 10:17:39,-0.846444122,0.846444122,1.692888244,,0.029563306,,,,,,,,
145,2020-09-08 10:17:40,-0.837108341,0.837108341,1.674216682,,-0.009335781,,,,,,,,
146,2020-09-08 10:17:41,-0.852667976,0.852667976,1.705335952,,0.015559635,,,,,,,,
147,2020-09-08 10:17:42,-0.826216597,0.826216597,1.652433194,,-0.026451379,,,,,,,,
148,2020-09-08 10:17:43,-0.836944556,0.836944556,1.673889112,,0.010727959,,,,,,,,
149,2020-09-08 10:17:44,-0.843184008,0.843184008,1.686368016,,0.006239452,,,,,,,,
150,2020-09-08 10:17:45,-0.846771693,0.846771693,1.693543386,,0.003587685,,,,,,,,
151,2020-09-08 10:17:46,-0.831329048,0.831329048,1.662658096,,-0.015442645,,,,,,,,
152,2020-09-08 10:17:47,-0.833668843,0.833668843,1.667337686,,0.002339795,,,,,,,,
153,2020-09-08 10:17:48,-0.841702138,0.841702138,1.683404276,,0.008033295,,,,,,,,
154,2020-09-08 10:17:49,-0.837108341,0.837108341,1.674216682,,-0.004593797,,,,,,,,
155,2020-09-08 10:17:50,-0.830884487,0.830884487,1.661768974,,-0.006223854,,,,,,,,
156,2020-09-08 10:17:51,-0.81843678,0.81843678,1.63687356,,-0.012447707,,,,,,,,
157,2020-09-08 10:17:52,-0.841776231,0.841776231,1.683552462,,0.023339451,,,,,,,,
158,2020-09-08 10:17:53,-0.843332195,0.843332195,1.68666439,,0.001555964,,,,,,,,
159,2020-09-08 10:17:54,-0.843332195,0.843332195,1.68666439,,0,,,,,,,,
160,2020-09-08 10:17:55,-0.849556049,0.849556049,1.699112098,,0.006223854,,,,,,,,
161,2020-09-08 10:17:56,-0.843495981,0.843495981,1.686991962,,-0.006060068,,,,,,,,
162,2020-09-08 10:17:57,-0.843184008,0.843184008,1.686368016,,-0.000311973,,,,,,,,
163,2020-09-08 10:17:58,-0.840220268,0.840220268,1.680440536,,-0.00296374,,,,,,,,
164,2020-09-08 10:17:59,-0.837256528,0.837256528,1.674513056,,-0.00296374,,,,,,,,
165,2020-09-08 10:18:00,-0.849556049,0.849556049,1.699112098,,0.012299521,,,,,,,,
